PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Cabin
1,0,3,"Braund, Mr. Owen Harris",male,22,1,0,A/5 21171,
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,PC 17599,C85
3,1,3,"Heikkinen, Miss. Laina",female,26,0,0,STON/O2. 3101282,
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0,113803,C123
5,0,3,"Allen, Mr. William Henry",male,35,0,0,373450,
6,0,3,"Moran, Mr. James",male,,0,0,330877,
7,0,1,"McCarthy, Mr. Timothy J",male,54,0,0,17463,E46
8,0,3,"Palsson, Master. Gosta Leonard",male,2,3,1,349909,
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,0,2,347742,
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,0,237736,
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4,1,1,PP 9549,G6
12,1,1,"Bonnell, Miss. Elizabeth",female,58,0,0,113783,C103
13,0,3,"Saundercock, Mr. William Henry",male,20,0,0,A/5. 2151,
14,0,3,"Andersson, Mr. Anders Johan",male,39,1,5,347082,
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0,350406,
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,0,0,248706,
17,0,3,"Rice, Master. Eugene",male,2,4,1,382652,
18,1,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0,345763,
20,1,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,
21,0,2,"Fynney, Mr. Joseph J",male,35,0,0,239865,
22,1,2,"Beesley, Mr. Lawrence",male,34,0,0,248698,D56
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15,0,0,330923,
24,1,1,"Sloper, Mr. William Thompson",male,28,0,0,113788,A6
25,0,3,"Palsson, Miss. Torborg Danira",female,8,3,1,349909,
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5,347077,
27,0,3,"Emir, Mr. Farred Chehab",male,,0,0,2631,
28,0,1,"Fortune, Mr. Charles Alexander",male,19,3,2,19950,C23 C25 C27
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,330959,
30,0,3,"Todoroff, Mr. Lalio",male,,0,0,349216,
31,0,1,"Uruchurtu, Don. Manuel E",male,40,0,0,PC 17601,
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,B78
33,1,3,"Glynn, Miss. Mary Agatha",female,,0,0,335677,
34,0,2,"Wheadon, Mr. Edward H",male,66,0,0,C.A. 24579,
35,0,1,"Meyer, Mr. Edgar Joseph",male,28,1,0,PC 17604,
36,0,1,"Holverson, Mr. Alexander Oskar",male,42,1,0,113789,
37,1,3,"Mamee, Mr. Hanna",male,,0,0,2677,
38,0,3,"Cann, Mr. Ernest Charles",male,21,0,0,A./5. 2152,
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18,2,0,345764,
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14,1,0,2651,
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,1,0,7546,
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,1,0,11668,
43,0,3,"Kraeff, Mr. Theodor",male,,0,0,349253,
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3,1,2,SC/Paris 2123,
45,1,3,"Devaney, Miss. Margaret Delia",female,19,0,0,330958,
46,0,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,
47,0,3,"Lennon, Mr. Denis",male,,1,0,370371,
48,1,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311,
49,0,3,"Samaan, Mr. Youssef",male,,2,0,2662,
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,1,0,349237,
51,0,3,"Panula, Master. Juha Niilo",male,7,4,1,3101295,
52,0,3,"Nosworthy, Mr. Richard Cater",male,21,0,0,A/4. 39886,
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,0,PC 17572,D33
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,1,0,2926,
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65,0,1,113509,B30
56,1,1,"Woolner, Mr. Hugh",male,,0,0,19947,C52
57,1,2,"Rugg, Miss. Emily",female,21,0,0,C.A. 31026,
58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,
59,1,2,"West, Miss. Constance Mirium",female,5,1,2,C.A. 34651,
60,0,3,"Goodwin, Master. William Frederick",male,11,5,2,CA 2144,
61,0,3,"Sirayanian, Mr. Orsen",male,22,0,0,2669,
62,1,1,"Icard, Miss. Amelie",female,38,0,0,113572,B28
63,0,1,"Harris, Mr. Henry Birkhardt",male,45,1,0,36973,C83
64,0,3,"Skoog, Master. Harald",male,4,3,2,347088,
65,0,1,"Stewart, Mr. Albert A",male,,0,0,PC 17605,
66,1,3,"Moubarek, Master. Gerios",male,,1,1,2661,
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29,0,0,C.A. 29395,F33
68,0,3,"Crease, Mr. Ernest James",male,19,0,0,S.P. 3464,
69,1,3,"Andersson, Miss. Erna Alexandra",female,17,4,2,3101281,
70,0,3,"Kink, Mr. Vincenz",male,26,2,0,315151,
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32,0,0,C.A. 33111,
72,0,3,"Goodwin, Miss. Lillian Amy",female,16,5,2,CA 2144,
73,0,2,"Hood, Mr. Ambrose Jr",male,21,0,0,S.O.C. 14879,
74,0,3,"Chronopoulos, Mr. Apostolos",male,26,1,0,2680,
75,1,3,"Bing, Mr. Lee",male,32,0,0,1601,
76,0,3,"Moen, Mr. Sigurd Hansen",male,25,0,0,348123,F G73
77,0,3,"Staneff, Mr. Ivan",male,,0,0,349208,
78,0,3,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,
79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,
80,1,3,"Dowdell, Miss. Elizabeth",female,30,0,0,364516,
81,0,3,"Waelens, Mr. Achille",male,22,0,0,345767,
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29,0,0,345779,
83,1,3,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,
84,0,1,"Carrau, Mr. Francisco M",male,28,0,0,113059,
85,1,2,"Ilett, Miss. Bertha",female,17,0,0,SO/C 14885,
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,3,0,3101278,
87,0,3,"Ford, Mr. William Neal",male,16,1,3,W./C. 6608,
